Name,ID,Copy_Number
U2,736212356,1
Chico Science & Nação Zumbi,843541438,1
Black Label Society,720869189,1
Black Label Society,256564274,1
U2,726668033,1
Green Day,105082409,1
Jimi Hendrix,401957996,1
Os Paralamas Do Sucesso,303707528,1
Gilberto Gil,364346649,1
Audioslave,283301565,1
Amy Winehouse,608821718,1
Accept,907788477,1
Ozzy Osbourne,199649151,1
Led Zeppelin,686621938,1
Led Zeppelin,57000878,1
Aerosmith,312628398,1
Black Sabbath,142139186,1
Ozzy Osbourne,835290849,1
Red Hot Chili Peppers,291637255,1
Incognito,64694805,1
Frank Zappa & Captain Beefheart,613866189,1
Red Hot Chili Peppers,688071122,1
Cidade Negra,430887463,1
Deep Purple,193009987,1
Jamiroquai,388270245,1
Alice In Chains,89544725,1
AC/DC,791514619,1
Nirvana,90994472,1
Metallica,924323510,1
Metallica,483730166,1
JET,171257550,1
Kiss,101400480,1
Spyro Gyra,236439831,1
House Of Pain,390423475,1
Led Zeppelin,635142877,1
U2,45635745,1
Led Zeppelin,499440551,1
Foo Fighters,785066789,1
Foo Fighters,212376173,1
Green Day,507637467,1
Alanis Morissette,175952985,1
Metallica,434743637,1
Philip Glass Ensemble,244940661,1
Led Zeppelin,832182374,1
Led Zeppelin,48455604,1
Led Zeppelin,650878193,1
AC/DC,686991733,1
The Black Crowes,723006448,1
The Black Crowes,977055074,1
Iron Maiden,395540284,1
Iron Maiden,763144371,1
Pearl Jam,402370583,1
Judas Priest,726635841,1
Legião Urbana,272496799,1
Metallica,438163974,1
Miles Davis,744183074,1
Chico Buarque,968497964,1
Os Mutantes,516476437,1
Marillion,105656734,1
Deep Purple,507510433,1
Spyro Gyra,382233289,1
Mötley Crüe,592862844,1
Cláudio Zoli,770933084,1
Nirvana,510101253,1
The Rolling Stones,371280031,1
Olodum,70847531,1
Audioslave,585563627,1
Led Zeppelin,2821115,1
Led Zeppelin,860921730,1
Iron Maiden,719036078,1
Apocalyptica,439910151,1
Iron Maiden,735123103,1
Deep Purple,925390332,1
Gilberto Gil,387317488,1
Accept,66439137,1
Rush,386700048,1
Metallica,328840470,1
Iron Maiden,648865294,1
Iron Maiden,824489055,1
Smashing Pumpkins,184282021,1
Santana,445269703,1
Santana,842844166,1
Iron Maiden,487349370,1
Deep Purple,793854178,1
The 12 Cellists of The Berlin Philharmonic,724046399,1
Deep Purple,792595492,1
Jamiroquai,180181588,1
Temple of the Dog,961131853,1
Deep Purple,863925983,1
Ed Motta,36545150,1
Men At Work,348635359,1
R.E.M.,387126252,1
Foo Fighters,298777722,1
Eric Clapton,243130979,1
The Doors,669417473,1
Deep Purple,418060789,1
Jamiroquai,953801211,1
Iron Maiden,121692047,1
UB40,73448015,1
Kiss,370084652,1
Van Halen,570566445,1
Van Halen,192453425,1
Def Leppard,175220059,1
Page & Plant,803626461,1
Antônio Carlos Jobim,695912993,1
U2,279444609,1
